"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on February 11, 2021","Mila","yes","-","Great camera for baby monitor","Got this camera mainly for baby monitor. Does it’s job very well. Was easy and quick set up. Video quality is good and motion detection is on point. Always thought you have to have your phone open whole time to monitor but there’s an option to set up with motion detection that it notifies you of any movement even when your phone is off.","5","-","-","https://www.amazon.com/gp/customer-reviews/R2IUILMS1BWQCK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on December 16, 2020","Vicki R","yes","yes","Requires 2.4","I Was very disappointed that my wifi was only 2.0 and this I didn’t realize required 2.4 until it would not connect. Please make your information clear that it requires 2.4 I will probably be sending it back unless I decide to upgrade my WiFi.Can someone recommend an ATT compatible Router that is 2.4 GHZ or more., if I don't upgrade, this nice little camera has to go back.","3","-","-","https://www.amazon.com/gp/customer-reviews/R3LCARAQBPUBE0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","B086VJN8RC","Size: 1-Pack with 32G SD"
"Reviewed in the United States on July 22, 2020","Jiaying Zhou","yes","yes","Highly recommended","We recently bought one of these and when it arrived the set up guide was easy to use. I just downloaded the app, plugged in the camera, and followed the steps after hitting the setup button. Now for the camera - the picture is crystal clear, and I like that when I'm viewing my property through the app. The other great features include camera snapshot, recording on the spot, and a speaker to talk through the camera to whoever is being recorded or near the camera. I see this being the PERFECT device to be used indoors. It's less effective when used through windows but mostly does the job for me.","5","https://images-na.ssl-images-amazon.com/images/I/616NSLIYwXL.jpg https://images-na.ssl-images-amazon.com/images/I/71NhP9JapcL.jpg https://images-na.ssl-images-amazon.com/images/I/81PYRJI1fpL.jpg","-","https://www.amazon.com/gp/customer-reviews/RIFRWBBHONJUO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","B086VJN8RC","Size: 1-Pack with 32G SD"
"Reviewed in the United States on August 16, 2020","kewoodxu","yes","yes","Great functionality and EASY set up","This little device is so powerful yet easy to set up. It was my first security camera and it took me less than 2 minutes to set up following the clear instructions! Once setting up, I could view live images from my phone with clear image. I tested it with a few hand waves and voila – I received instantaneous warnings on my phone. It also comes with a 3-month FREE storage service. While I am saving my videos locally, I do think that’s a great option to have. One more thing, the camera is attached to a ball-and-socket joint so it could really be rotated to suit my need. Really pleasant to use!","5","https://images-na.ssl-images-amazon.com/images/I/61E1xnEf-fL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2HOJ9Y9VHIUUP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on November 3, 2020","Yanni","yes","yes","Picture quality","Can't beat price quality! Amazing camera, at night the images are not so good. I installed it on my window as you can see the picture is high definition.  You have motion detection that is a great thing for a patio or backyard.  I have some issues with my wifi connection but I'm happy so far.","5","https://images-na.ssl-images-amazon.com/images/I/81d6B6BpATL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1G8CDMCMCPVRN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","B086VJN8RC","Size: 1-Pack with 32G SD"
"Reviewed in the United States on July 26, 2020","Amazon Customer","yes","yes","So Far I'm Impressed","Setup was incredibly easy. I scanned the QR code added the wi-fi and password and we were ready to go. It took less than 5 min to get going! The app is a little laggy but still useable and user friendly. So far I'm really happy with the picture quality and performance. I'll update if anything interesting to share comes up.","5","https://images-na.ssl-images-amazon.com/images/I/616YTG0MnGL.jpg https://images-na.ssl-images-amazon.com/images/I/61dLBTm9IfL.jpg https://images-na.ssl-images-amazon.com/images/I/61vQs-2dybL.jpg https://images-na.ssl-images-amazon.com/images/I/61vmhXa1nxL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2R0DNWD0RCXFV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","B086VJN8RC","Size: 1-Pack with 32G SD"
"Reviewed in the United States on February 12, 2021","steffany","yes","-","Not affordable","I bought this camera because it was financially affordable. However, I updated my home internet and since then the camera stopped working. I had it in my son’s room since i wanted to monitor his activities of randomly waking up at night. I resetted the camera deleted app and did thr steps a few times howevrr it didnt work i realized that I’vr the fastest internet at home and this camera only works w/ 2.0, waste of money! I already threw the box away so i couldn’t returned it. I gave it away to someone else who could benefit from it. Another downside is that the app doesn’t work on two devices at a time.","1","-","-","https://www.amazon.com/gp/customer-reviews/R2YLRDQWYKNIAZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on September 4, 2020","Justin gillett","yes","yes","Amazing picture and quality!","I've been looking for an affordable security camera to set up in my home and came across this product. The features and price matched my needs, so I ordered the product and it arrived quickly.It was simple to set up. The APP is streamlined and very user friendly. You can also link it with Alexa for more functionality. The picture quality is great and it works well as my baby room monitor. The sound and motion detector reacts fast too. Gotta love smart tech! Overall, it captures a crisp image and the APP allows many functions to adjust the camera to your needs. I will highly recommend this product in the future and look forward to seeing what else Arenti offers.","5","https://images-na.ssl-images-amazon.com/images/I/61T985zVV7L.jpg https://images-na.ssl-images-amazon.com/images/I/61XfwSCwMhL.jpg https://images-na.ssl-images-amazon.com/images/I/81kXn769otL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2WCLGWC0VPJYM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on December 30, 2020","stephanie","yes","yes","Super impressed!","I cannot say enough good things about this camera! I have a Vivnt home security system with a indoor camera that features all the same qualities but for much, much less. It connected quickly. I was up and running in less than a minute. Camera quality is good and love the history feature and intercom feature.One item to note - I ordered this camera for my son who lives in apartment and uses the supplied wifi and was not able to connect without having the mac address.","5","-","-","https://www.amazon.com/gp/customer-reviews/RWHQY2KH46WKP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on November 8, 2020","Abdul Rehman","yes","yes","Does it job, sometimes have issues connecting.","This is really good for us since we just adopted a dog. The app is pretty easy to use. It even has a cry detection, which I appreciate. The only issue is that we sometimes had issues turning on the camera in the beginning. Not so much now. It is pretty durable as well. I accidentally dropped it on the floor. The back of the camera fell out. I expected it to break completely, seeing how small and dainty it is. But after pushing the back in, it works perfectly. Doesn't give me any trouble at all.","4","-","-","https://www.amazon.com/gp/customer-reviews/R3MOQGX78W6RPY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","B086VJN8RC","Size: 1-Pack with 32G SD"
"Reviewed in the United States on October 12, 2020","S. Garcia","yes","-","great price","Work Amazing","5","-","-","https://www.amazon.com/gp/customer-reviews/R3MH1VPY8P17FL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on July 28, 2020","Lichun Zhang","yes","-","Great for the price","We had the camera for 3 days now and I love this thing! Night vision is good quality. Picture itself is pretty good, but the video has a little lag. I'll figure out how long it'll live and if it's an actual good deal, but so far I'm way satisfied.","5","https://images-na.ssl-images-amazon.com/images/I/213IeFqKpcL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2YQG167SJ99VM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","B086VJN8RC","Size: 1-Pack with 32G SD"
